_id,id,idanalista,atribuicao,status,validacao,status_val,obs,area_km2,data_inicial,data_entrega,idprojeto,geom,st_astext,data_inicio
662d7ca95db57697a6f67aa5,1409,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7431101.9862726405,339488.646550982 7431101.9862726405,339488.646550982 7430701.9862726405,338788.646550982 7430701.9862726405,338788.646550982 7431101.9862726405)))",
662d7ca95db57697a6f67aa9,1413,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7438701.9862726405,339488.646550982 7438701.9862726405,339488.646550982 7438301.9862726405,338788.646550982 7438301.9862726405,338788.646550982 7438701.9862726405)))",
662d7ca95db57697a6f67aaa,1414,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7439101.9862726405,339488.646550982 7439101.9862726405,339488.646550982 7438701.9862726405,338788.646550982 7438701.9862726405,338788.646550982 7439101.9862726405)))",
662d7ca95db57697a6f67aac,1416,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7436701.9862726405,339488.646550982 7436701.9862726405,339488.646550982 7436301.9862726405,338788.646550982 7436301.9862726405,338788.646550982 7436701.9862726405)))",
662d7ca95db57697a6f67aad,1417,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7437101.9862726405,339488.646550982 7437101.9862726405,339488.646550982 7436701.9862726405,338788.646550982 7436701.9862726405,338788.646550982 7437101.9862726405)))",
662d7ca95db57697a6f67aae,1418,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7437501.9862726405,339488.646550982 7437501.9862726405,339488.646550982 7437101.9862726405,338788.646550982 7437101.9862726405,338788.646550982 7437501.9862726405)))",
662d7ca95db57697a6f67ab5,1425,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7433901.9862726405,339488.646550982 7433901.9862726405,339488.646550982 7433501.9862726405,338788.646550982 7433501.9862726405,338788.646550982 7433901.9862726405)))",
662d7ca95db57697a6f67ab7,1427,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7434701.9862726405,339488.646550982 7434701.9862726405,339488.646550982 7434301.9862726405,338788.646550982 7434301.9862726405,338788.646550982 7434701.9862726405)))",
662d7ca95db57697a6f67abc,1432,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((340188.646550982 7443101.9862726405,340888.646550982 7443101.9862726405,340888.646550982 7442701.9862726405,340188.646550982 7442701.9862726405,340188.646550982 7443101.9862726405)))",
662d7ca95db57697a6f67ac4,1440,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((340188.646550982 7439901.9862726405,340888.646550982 7439901.9862726405,340888.646550982 7439501.9862726405,340188.646550982 7439501.9862726405,340188.646550982 7439901.9862726405)))",
